FID,ASA,CTEXP,eTH,eU,KPERC,MAGIGRF,MDT,ThetaMap,THKRAZAO,UKRAZAO,UTHRAZAO,X,Y,Cod_Litho,Geologia_R,INDICELATE
33097,0.012960138,9.6334,28.758,1.6926,0.1824,-2.921,882.078,0.627309663,106.2958,8.1918,0.0772,324779.0,7950192.4,2,Depósitos detríticos indiferenciados,1.5701128298393805
33098,0.013033916,9.5906,28.607,1.6629,0.1956,-2.981,881.892,0.618960177,107.3447,8.2262,0.0768,324779.0,7950200.1,2,Depósitos detríticos indiferenciados,1.5699920618162173
33099,0.013054316,9.5478,28.456,1.6332,0.2088,-3.094,881.706,0.613324125,108.3936,8.2606,0.0764,324779.0,7950207.8,2,Depósitos detríticos indiferenciados,1.5698582300309292
33100,0.012854153,9.505,28.305,1.6035,0.222,-3.272,881.52,0.62361792,109.4425,8.295,0.076,324779.0,7950215.5,2,Depósitos detríticos indiferenciados,1.5697104672462512
33101,0.012747399,9.4622,28.154,1.5738,0.2352,-3.349,881.334,0.629178342,110.4914,8.3294,0.0756,324779.0,7950223.2,2,Depósitos detríticos indiferenciados,1.5695478376752403
33102,0.012707366,9.4194,28.003,1.5441,0.2484,-3.385,881.148,0.631276496,111.5403,8.3638,0.0752,324779.0,7950230.9,2,Depósitos detríticos indiferenciados,1.569369330304983
33103,0.01265399,9.3766,27.852,1.5144,0.2616,-3.419,880.962,0.634085249,112.5892,8.3982,0.0748,324779.0,7950238.6,2,Depósitos detríticos indiferenciados,1.5691738514321796
33104,0.012493859,9.3338,27.701,1.4847,0.2748,-3.506,880.776,0.642590047,113.6381,8.4326,0.0744,324779.0,7950246.3,2,Depósitos detríticos indiferenciados,1.5689602163002119
33105,0.012387105,9.291,27.55,1.455,0.288,-3.556,880.59,0.648327147,114.687,8.467,0.074,324779.0,7950254.0,2,Depósitos detríticos indiferenciados,1.5687271397092708
33106,0.012240319,9.2589,27.4771,1.4764,0.2713,-3.633,880.327,0.656306587,115.6201,8.4746,0.0735,324778.9,7950261.7,2,Depósitos detríticos indiferenciados,1.5689819637977058
33107,0.012186942,9.2268,27.4042,1.4978,0.2546,-3.661,880.064,0.659234987,116.5532,8.4822,0.073,324778.8,7950269.4,2,Depósitos detríticos indiferenciados,1.569217096440656
33108,0.012072272,9.1947,27.3313,1.5192,0.2379,-3.71,879.801,0.663864566,117.4863,8.4898,0.0725,324778.7,7950277.1,2,Depósitos detríticos indiferenciados,1.5694332718137567
33109,0.011979731,9.1626,27.2584,1.5406,0.2212,-3.733,879.538,0.668836079,118.4194,8.4974,0.072,324778.6,7950284.8,2,Depósitos detríticos indiferenciados,1.5696311822800908
33110,0.011821088,9.1305,27.1855,1.562,0.2045,-3.722,879.275,0.677465357,119.3525,8.505,0.0715,324778.5,7950292.5,2,Depósitos detríticos indiferenciados,1.5698114812385249
33111,0.011768207,9.0984,27.1126,1.5834,0.1878,-3.713,879.012,0.680372495,120.2856,8.5126,0.071,324778.4,7950300.2,2,Depósitos detríticos indiferenciados,1.5699747857411686
33112,0.012179752,9.0663,27.0397,1.6048,0.1711,-3.698,878.749,0.683976212,121.2187,8.5202,0.0705,324778.3,7950307.9,2,Depósitos detríticos indiferenciados,1.5701216789014618
33113,0.012539854,9.0342,26.9668,1.6262,0.1544,-3.685,878.486,0.686923558,122.1518,8.5278,0.07,324778.2,7950315.6,2,Depósitos detríticos indiferenciados,1.5702527121121455
33114,0.012951399,9.0021,26.8939,1.6476,0.1377,-3.668,878.223,0.6900795,123.0849,8.5354,0.0695,324778.1,7950323.3,2,Depósitos detríticos indiferenciados,1.5703684070903605
33115,0.013362944,8.97,26.821,1.669,0.121,-3.644,877.96,0.693030116,124.018,8.543,0.069,324778.0,7950331.0,2,Depósitos detríticos indiferenciados,1.5704692577653698
33116,0.013928819,9.0481,26.6707,1.8053,0.1424,-3.621,877.717,0.696787319,124.7308,8.5308,0.0685,324778.0,7950338.6,2,Depósitos detríticos indiferenciados,1.5703751774238657
33117,0.014134591,9.1262,26.5204,1.9416,0.1638,-3.624,877.474,0.698075094,125.4436,8.5186,0.068,324778.0,7950346.2,2,Depósitos detríticos indiferenciados,1.5702752665705928
33118,0.014546136,9.2043,26.3701,2.0779,0.1852,-3.636,877.231,0.700535841,126.1564,8.5064,0.0675,324778.0,7950353.8,2,Depósitos detríticos indiferenciados,1.5701703683712802
33119,0.014906238,9.2824,26.2198,2.2142,0.2066,-3.639,876.988,0.702572095,126.8692,8.4942,0.067,324778.0,7950361.4,2,Depósitos detríticos indiferenciados,1.570061111835509
33120,0.015317784,9.3605,26.0695,2.3505,0.228,-3.629,876.745,0.704776483,127.582,8.482,0.0665,324778.0,7950369.0,2,Depósitos detríticos indiferenciados,1.5699479737311528
33121,0.015935101,9.4386,25.9192,2.4868,0.2494,-3.621,876.502,0.707859977,128.2948,8.4698,0.066,324778.0,7950376.6,2,Depósitos detríticos indiferenciados,1.5698313201320149
